City,Date,numPeople,numFamilies,Precipitation,Humidity,TempF,TempC,Tidal,Elevation
Lampung,2022-10-06,300,60,2.3,85.0,79.0,26.1,0.00020746887966804884,49.27734375
Sumatera Selatan,2022-10-06,150,30,0.0,77.0,84.1,28.9,-0.007634854771784221,18.734375
Banten,2022-10-06,7535,1507,1.2,78.0,82.4,28.0,0.0003734439834024859,64.37109375
Jakarta Raya,2022-10-06,3964,1131,1.6,71.0,85.1,29.5,0.0023236514522821513,10.2734375
Aceh,2022-10-06,1040,208,0.1,32.0,78.6,25.9,0.015352697095435689,1220.890625
Sulawesi Barat,2022-10-06,380,76,1.9,84.0,79.4,26.4,0.006431535269709548,349.03515625
Sulawesi Selatan,2022-10-05,5465,1093,2.6,86.0,80.5,27.0,0.005643153526970957,532.796875
Sumatera Selatan,2022-10-05,1490,298,1.6,80.0,83.9,28.8,-0.003734439834024895,18.734375
Aceh,2022-10-05,1351,558,0.0,29.0,81.0,27.2,0.01672199170124482,1220.890625
Banten,2022-10-04,6260,1252,3.1,83.0,81.3,27.4,0.0019087136929460563,64.37109375
Jakarta Raya,2022-10-04,177,41,6.4,68.0,85.4,29.7,0.006390041493775932,10.2734375
Aceh,2022-10-04,59335,17582,0.0,33.0,80.2,26.8,0.014481327800829875,1220.890625
Gorontalo,2022-10-02,1500,375,2.7,88.0,79.1,26.2,0.008215767634854768,55.55078125
Kalimantan Barat,2022-10-02,9499,2901,3.8,89.0,80.6,27.0,0.014896265560165968,114.5390625
Sumatera Barat,2022-10-02,1440,324,3.2,82.0,79.1,26.2,0.006473029045643155,384.66015625
Sumatera Barat,2022-10-02,675,135,3.2,82.0,79.1,26.2,0.006473029045643155,384.66015625
Sumatera Barat,2022-10-01,2575,515,0.8,82.0,79.8,26.6,0.006099585062240665,384.66015625
Jawa Timur,2022-10-01,155,35,1.6,80.0,79.4,26.4,0.0039004149377593394,1072.65625
Bali,2022-09-30,125,25,1.7,82.0,83.3,28.5,0.05605809128630703,38.546875
Sumatera Utara,2022-09-29,1070,214,2.3,74.0,83.2,28.4,0.003983402489626556,1703.65625
Riau,2022-09-27,160,40,1.3,82.0,50.5,10.3,0.015933609958506213,17.2265625
Sumatera Utara,2022-09-26,105,21,8.6,74.0,82.8,28.2,0.0039004149377593364,1703.65625
Jawa Barat,2022-09-25,115,23,0.7,77.0,79.5,26.4,0.006929460580912863,733.0
Sulawesi Selatan,2022-09-24,338,116,0.3,78.0,81.4,27.4,0.00933609958506224,532.796875
Sulawesi Tengah,2022-09-24,450,90,0.3,78.0,81.4,27.4,0.0003734439834024991,1080.984375
Kalimantan Selatan,2022-09-24,1025,365,1.3,83.0,80.6,27.0,0.00946058091286308,567.015625
Kalimantan Selatan,2022-09-24,1894,580,1.3,83.0,80.6,27.0,0.00946058091286308,567.015625
Kalimantan Selatan,2022-09-24,1119,373,1.3,83.0,80.6,27.0,0.00946058091286308,567.015625
Jawa Barat,2022-09-23,1270,254,0.2,77.0,80.7,27.1,0.007468879668049785,733.0
Jawa Barat,2022-09-23,347,141,0.2,77.0,80.7,27.1,0.007468879668049785,733.0
